,the_geom,segmentid,Shape_Le_1,boro,street,fromstreet,tostreet,onoffst,facilitycl,allclasses,bikedir,lanecount,ft_facilit,tf_facilit
960,"MULTILINESTRING ((-74.01290389120985 40.67922609644374, -74.01352783036079 40.67869408187785))",21576,259.845098657,3,CONOVER ST,PIONEER ST,SULLIVAN ST,ON,II,II,L,1,,Standard
961,"MULTILINESTRING ((-74.01290389120985 40.67922609644374, -74.01440311283106 40.68025265892549))",21577,559.28235131,3,KING ST,CONOVER ST,FERRIS ST,ON,II,II,R,1,Standard,
966,"MULTILINESTRING ((-74.00898332118193 40.67196815773072, -74.00912811645168 40.671758210117844))",21620,86.3944608993,3,COLUMBIA ST,BAY ST,COLUMBIA ST ESPLANADE,ON,III,III,2,2,Sharrows,Sharrows
972,"MULTILINESTRING ((-74.01169938574016 40.67936500350046, -74.01226166215108 40.67973842519729))",21647,206.957722314,3,PIONEER STREET,IMLAY STREET,CONOVER STREET,OFF,I,I,2,2,Sidewalk,Sidewalk
975,"MULTILINESTRING ((-74.01045156367745 40.68043080131003, -74.01169938574016 40.67936500350046))",21660,520.15745701,3,IMLAY STREET,VERONA STREET,PIONEER STREET,OFF,I,I,2,2,Sidewalk,Sidewalk
977,"MULTILINESTRING ((-74.00920011636288 40.681496360606104, -74.01045156367745 40.68043080131003))",21665,520.758604168,3,IMLAY ST,SUMMIT ST,VERONA ST,ON,I,I,2,2,Protected Path,Protected Path
992,"MULTILINESTRING ((-74.0051788806772 40.684995196039885, -74.00301014422467 40.68439074297097))",21795,640.533765954,3,UNION ST,VAN BRUNT ST,HICKS ST,ON,II,II,R,1,Standard,
994,"MULTILINESTRING ((-74.00485241636525 40.68566813087767, -74.00268595111058 40.68506193095944))",21809,640.155908838,3,SACKETT STREET,BOND ST,VAN BRUNT ST,ON,II,II,L,1,,Standard
998,"MULTILINESTRING ((-74.0029102125256 40.67253441842424, -74.00324168663221 40.67185224228777))",21854,264.999995324,3,CLINTON ST,BAY ST,BUSH ST,ON,II,II,L,1,,Standard
1001,"MULTILINESTRING ((-74.00089924544123 40.67197618633297, -74.00121990408616 40.671312909771665))",21860,257.501718585,3,COURT ST,BAY ST,W 9 ST,ON,III,III,2,2,Sharrows,Sharrows
1002,"MULTILINESTRING ((-74.00089924544123 40.67197618633297, -73.99965926029755 40.671627087502216))",21861,366.730803007,3,CREAMER ST,COURT ST,SMITH ST,ON,III,III,R,1,Sharrows,
1008,"MULTILINESTRING ((-73.99965926029755 40.671627087502216, -73.99996327714682 40.67097956347769))",22083,250.532387399,3,SMITH ST,BAY ST,HAMILTON AV,ON,III,III,L,1,,Sharrows
1010,"MULTILINESTRING ((-74.00059452345087 40.67261848976937, -73.99934695849022 40.67227260157715))",22104,368.298646474,3,LORRAINE ST,SMITH ST,COURT ST,ON,III,III,L,1,,Sharrows
1018,"MULTILINESTRING ((-74.0006740918002 40.675555789116835, -73.99935169641083 40.67520056317322))",22159,388.971817526,3,W 9 ST,SMITH ST,HAMILTON AV,ON,II,II,L,1,,Curbside
1019,"MULTILINESTRING ((-74.00013621940334 40.674688307021384, -73.9996606646604 40.674554355005824))",22163,140.650533179,3,GARNET STREET,HAMILTON AVE,SMITH ST,ON,II,II,R,1,Curbside,
1024,"MULTILINESTRING ((-73.99776979507268 40.6747414879082, -73.99666043533924 40.67414278070713))",22175,377.189489961,3,9 ST,GOWANUS CANAL SHORELINE,COLUMBIA ST,ON,III,III,2,2,Sharrows,Sharrows
1030,"MULTILINESTRING ((-73.9992703747163 40.6800541742967, -73.99728252513249 40.679501949110765))",22196,586.920465758,3,2 PL,SMITH ST,CLINTON ST,ON,III,III,L,1,,Signed Route
1035,"MULTILINESTRING ((-73.99940054749683 40.6841445622789, -73.99972556177862 40.68347314933918))",22212,260.69560516,3,HENRY ST,AMITY ST,UNION ST,ON,III,III,R,1,Signed Route,
1058,"MULTILINESTRING ((-73.9957939463999 40.67883745975006, -73.99372510867678 40.6778416215867))",22379,678.910875799,3,3 ST,SMITH ST,BOND ST,ON,II,"III,II",2,2,Sharrows,Standard
1097,"MULTILINESTRING ((-73.99329539568316 40.67847946782291, -73.99372510867678 40.6778416215867))",22515,261.169346676,3,HOYT ST,DOUGLASS ST,3 ST,ON,III,III,R,1,Sharrows,
1101,"MULTILINESTRING ((-73.99136983699964 40.677549684291925, -73.9918716266536 40.676946358011435))",22522,260.169667392,3,BOND STREET,3 ST,UNION ST,ON,II,II,L,1,,Curbside
1121,"MULTILINESTRING ((-73.99326829990873 40.687824451167074, -73.9919398517594 40.687314071800294))",22553,412.687089125,3,BERGEN ST,COURT ST,RALPH AV,ON,II,II,L,1,,Standard
1124,"MULTILINESTRING ((-73.99150877034401 40.68795840323193, -73.9919398517594 40.687314071800294))",22557,263.438485855,3,BOERUM PL,BERGEN ST,ATLANTIC AV,ON,II,II,R,1,Standard,
1125,"MULTILINESTRING ((-73.99150877034401 40.68795840323193, -73.9900350027276 40.687365125813955))",22558,462.357734099,3,DEAN ST,BOERUM PL,SMITH ST,ON,III,III,R,1,Sharrows,
1131,"MULTILINESTRING ((-73.98931273057937 40.665566337850635, -73.98695101882238 40.66442521250325))",22586,775.971528332,3,15 ST,8 AV,3 AV,ON,II,II,L,1,,Standard
1133,"MULTILINESTRING ((-73.9888092413146 40.66616951764338, -73.98644928951026 40.66502846419599))",22588,775.540281997,3,14 ST,3 AV,PROSPECT PARK W,ON,II,II,R,1,Standard,
1145,"MULTILINESTRING ((-73.98955883881523 40.67994567717607, -73.98850509955685 40.67953715744019))",22640,327.98482133,3,UNION ST BR,BOND ST,NEVINS ST,ON,II,II,2,2,Standard,Standard
1149,"MULTILINESTRING ((-73.98696009725982 40.67974350768371, -73.98739288377777 40.679103795357214))",22660,262.162722656,3,NEVINS ST,DEGRAW STREET,UNION STREET,ON,III,III,R,1,Sharrows,
1154,"MULTILINESTRING ((-73.98653302966 40.680372638860185, -73.98456912329549 40.67961234011781))",22689,611.101402842,3,DE GRAW ST,3 AVE,NEVINS STREET,ON,III,III,L,1,,Sharrows
1202,"MULTILINESTRING ((-73.98398777598669 40.68817464425531, -73.98181677450677 40.68732980212483))",22829,676.2032276,3,SCHERMERHORN ST,BOERUM PL,3 AV,ON,II,II,2,2,Standard,Standard
1205,"MULTILINESTRING ((-73.97965353475097 40.66124323371187, -73.97967703236827 40.66125238801267, -73.97970127180372 40.661260341150744, -73.97972614782171 40.66126705798687, -73.97975155163711 40.661272509685055, -73.97977737328038 40.6612766728121, -73.97980349923323 40.66127952753649, -73.97982981597454 40.66128106303192, -73.97985620761696 40.661281272073815, -73.97988256063643 40.66128015374176, -73.97990875914174 40.66127771341862, -73.97993468842328 40.66127396008968, -73.97996023613373 40.661268911745886, -73.979985289925 40.6612625899803, -73.9800097421772 40.66125502269056, -73.98003348408675 40.66124624227678, -73.98005641276102 40.66123628744371, -73.98007842885384 40.66122520139944, -73.9800994353827 40.66121303275561, -73.98011934127649 40.66119983462748, -73.98013805901111 40.66118566373303, -73.98015550815568 40.6611705830951, -73.98017161064413 40.66115465843854))",22844,161.099634131,3,PROSPECT PARK W,PROSPECT PARK W,15 ST,ON,III,III,R,1,Sharrows,
1218,"MULTILINESTRING ((-73.98278109154664 40.673398759845654, -73.98041846941972 40.672256366690824))",22876,776.367536287,3,2 ST,4 AV,PROSPECT PARK W,ON,II,II,L,1,,Standard
1226,"MULTILINESTRING ((-73.98003167802662 40.67704893172042, -73.97753089674507 40.67607289697708))",22894,779.498044191,3,BERKELEY PL,5 AV,PLAZA ST W,ON,II,II,R,1,Standard,
1228,"MULTILINESTRING ((-73.97959806803725 40.677679998455694, -73.97710230707061 40.676707189113344))",22902,777.71706375,3,LINCOLN PL,PLAZA ST W,5 AV,ON,II,II,L,1,,Standard
1232,"MULTILINESTRING ((-73.97981084452853 40.68664684596198, -73.97936297639144 40.68668200001039))",22936,124.868658431,3,LAFAYETTE AV,3 AV,FT GREENE PL,ON,II,II,R,1,Curbside,
1234,"MULTILINESTRING ((-74.01441723662253 40.688127702449506, -74.01466616066594 40.687953042523375))",22944,93.8881044566,1,BARRY ROAD,EVANS RD,ANDES RD,OFF,I,I,2,2,Greenway,Greenway
1237,"MULTILINESTRING ((-74.0086453788268 40.707340019249045, -74.0082689573427 40.70772193569958))",23184,173.932527383,1,WILLIAM ST,PINE ST,LIBERTY ST,ON,II,II,R,1,Standard,
1238,"MULTILINESTRING ((-74.01276602858218 40.69126662837376, -74.01260737007796 40.69102649792942))",22959,97.927491401,1,KIMMEL RD,CLAYTON RD,BARRY RD,OFF,I,I,2,2,Greenway,Greenway
1239,"MULTILINESTRING ((-74.01442983223461 40.70315064724498, -74.01299783861998 40.70309951570532))",22994,397.482537571,1,PEARL ST,WHITEHALL ST,STATE ST,ON,III,III,L,1,,Sharrows
1240,"MULTILINESTRING ((-74.01439176843395 40.7035987826561, -74.01311347985514 40.703587165698956))",22996,354.451082919,1,BRIDGE ST,STATE ST,BROAD ST,ON,III,III,R,1,Sharrows,
1245,"MULTILINESTRING ((-74.01325396323584 40.70587051370108, -74.01250773989547 40.706767065268934))",23060,386.651231535,1,BROADWAY,VESEY ST,MORRIS ST,ON,I,I,L,1,,Protected Path
1253,"MULTILINESTRING ((-74.00898755324133 40.70408482794107, -74.00854172541293 40.703697611266804))",23146,187.56878161,1,OLD SLIP,WATER ST,SOUTH ST,ON,II,II,R,1,Curbside,
1257,"MULTILINESTRING ((-74.00998418639004 40.70514773306075, -74.0103269772853 40.70476279717966))",23165,169.414651493,1,SOUTH WILLIAM ST,BROAD ST,WILLIAM ST,ON,III,III,L,1,,Sharrows
1258,"MULTILINESTRING ((-74.00974639348551 40.70477524784779, -74.00945463906447 40.7045278566334))",23168,121.108798892,1,HANOVER SQ,PEARL ST,STONE ST,ON,III,III,L,1,,Sharrows
1264,"MULTILINESTRING ((-74.01167376211134 40.70968740241348, -74.01123100636381 40.71036686394162))",23189,276.310626259,1,CHURCH ST,LIBERTY ST,VESEY ST,ON,III,III,R,1,Sharrows,
1276,"MULTILINESTRING ((-74.0096897535374 40.71495099290177, -74.00923907482874 40.71552016777008))",23252,242.095822235,1,W BROADWAY,CHAMBERS ST,WARREN ST,ON,II,II,L,1,,Standard
1278,"MULTILINESTRING ((-74.00838690815759 40.71436229378302, -74.0096897535374 40.71495099290177))",23260,420.058581686,1,WARREN ST,WEST ST,BROADWAY,ON,II,II,L,1,,Standard
1286,"MULTILINESTRING ((-74.00683778761535 40.70785783570163, -74.00595100503939 40.70720573474402))",23320,341.893859563,1,PLATT ST,GOLD ST,PEARL ST,ON,III,III,R,1,Sharrows,
1289,"MULTILINESTRING ((-74.00683778761535 40.70785783570163, -74.00653116885151 40.70822712611431))",23343,159.149483038,1,GOLD ST,ANN ST,PLATT ST,ON,III,III,L,1,,Sharrows
1295,"MULTILINESTRING ((-74.00558932964128 40.71217005364719, -74.00543047900938 40.712203695323375, -74.00527561971458 40.7122494394605, -74.00512712561239 40.71230677267772, -74.00498716700163 40.71237485743054, -74.00485768104453 40.71245254101441))",23386,229.692945867,1,CENTRE ST,BROOKLYN BR PED ENT,PARK ROW,ON,I,I,2,2,Protected Path,Protected Path
1296,"MULTILINESTRING ((-74.00509364641408 40.710977366391795, -74.00425299960867 40.71016624015657))",23389,376.36012116,1,SPRUCE ST,NASSAU ST,GOLD ST,ON,II,II,R,1,Standard,
1298,"MULTILINESTRING ((-74.00754375953517 40.715432824779306, -74.0088232834631 40.71601382407801))",23395,413.06342986,1,READE ST,LAFAYETTE ST,GREENWICH ST,ON,II,II,R,1,Standard,
1302,"MULTILINESTRING ((-74.00166466889307 40.70952276284886, -74.00086011092448 40.70879094708075))",23492,347.623934801,1,DOVER ST,PEARL ST,SOUTH ST,ON,III,III,R,1,,Sharrows
1307,"MULTILINESTRING ((-74.00046846939843 40.6896591459282, -73.99912517443754 40.689274966577855))",23592,397.955618874,3,CONGRESS ST,COLUMBIA ST,CLINTON ST,ON,II,II,R,1,Standard,
1311,"MULTILINESTRING ((-73.99799438984458 40.71367874049074, -73.99797666936492 40.71365750344196, -73.99795809679313 40.71363669231673, -73.99793869106442 40.713616325125244, -73.9979184699304 40.71359642347957, -73.9978974535095 40.71357700448943, -73.99787565955333 40.713558087965914, -73.99785311054715 40.713539691018674, -73.99782982897615 40.713521830757436, -73.99780583377508 40.71350452519233, -73.99778114979597 40.71348779053258, -73.99775580070734 40.71347164118634, -73.99772981017742 40.71345609426335, -73.99770320187473 40.713441164171876, -73.99767600183438 40.71342686441958))",23785,128.312416251,1,E BROADWAY,CATHERINE ST,CHATHAM SQ,ON,II,"II,III",2,2,Standard,Sharrows
1313,"MULTILINESTRING ((-73.99730028865089 40.71346829771535, -73.99711718960313 40.71279973623686))",23791,248.810042914,1,CATHERINE ST,E BROADWAY,MADISON ST,ON,III,III,R,1,Sharrows,
1319,"MULTILINESTRING ((-73.9965480514989 40.690103525408986, -73.99467753931718 40.68958293943251))",23804,552.32230585,3,PACIFIC ST,HENRY ST,SMITH ST,ON,III,III,L,1,,Sharrows
1336,"MULTILINESTRING ((-73.99470923334248 40.70299388651772, -73.9943829782294 40.70288600055767))",23916,98.6307934633,3,OLD FULTON ST,FURMAN ST,FRONT ST,ON,II,II,2,2,Standard,Curbside
1338,"MULTILINESTRING ((-73.99694730405551 40.71207168702441, -73.99436069421061 40.71230834263087))",23933,722.251074616,1,MADISON ST,ST JAMES PL,PIKE ST,ON,III,III,2,2,Sharrows,Sharrows
1340,"MULTILINESTRING ((-73.99410214448699 40.71008680560882, -73.99402179854545 40.70948500801052))",23940,220.381661426,1,MARKET SLIP,WATER ST,SOUTH ST,ON,II,II,2,2,Buffered,Buffered
1342,"MULTILINESTRING ((-73.94766300604282 40.59518870046786, -73.94673768358395 40.595290871882575))",26273,259.659312019,3,AV W,E 16 ST,NOSTRAND AV,ON,II,"III,II",2,2,Sharrows,Standard
1343,"MULTILINESTRING ((-73.99426516494997 40.71159305416792, -73.99426513065532 40.7115927678038, -73.99422210693713 40.71122865313513, -73.99414294320029 40.71055866008463))",23944,378.381287732,1,MARKET ST,CHERRY ST,E BROADWAY,ON,II,II,L,1,,Standard
1347,"MULTILINESTRING ((-73.994549012781 40.715032639049255, -73.99427200575094 40.715620864132305))",23960,227.650886489,1,FORSYTH ST,CANAL ST,E BROADWAY,ON,III,III,L,1,,Sharrows
1351,"MULTILINESTRING ((-73.9939503356077 40.714290831743185, -73.99340073308713 40.715354754523155))",23971,416.488323886,1,ELDRIDGE ST,CANAL ST,E BROADWAY,ON,III,III,R,1,Sharrows,
1363,"MULTILINESTRING ((-73.99301822178533 40.69746236500721, -73.99212341693162 40.69722575975154))",24016,262.669794229,3,CLARK ST,HENRY ST,CADMAN PLZ W,ON,III,III,2,2,Signed Route,Signed Route
1368,"MULTILINESTRING ((-73.99174589352143 40.70256382495167, -73.99168760000688 40.70247919516045, -73.99162337346068 40.702397091743215, -73.99155340318862 40.702317753339784, -73.99147789150942 40.702241413187224, -73.9913970632216 40.70216829551894, -73.99131115258719 40.70209861466339, -73.99122041161503 40.70203257414419, -73.99112510887684 40.70197036758067, -73.99102552004173 40.70191217868766, -73.99092194089232 40.701858176773534, -73.99081467194202 40.701808521242306, -73.99070403026842 40.701763356191165, -73.99059033768057 40.70172281491267, -73.99047392900236 40.70168701539243))",24079,487.376420421,3,YORK ST,WASHINGTON ST,FRONT ST,ON,II,II,L,1,,Standard
1369,"MULTILINESTRING ((-73.99340073308713 40.715354754523155, -73.99427200575094 40.715620864132305))",24135,260.263179766,1,CANAL ST,FORSYTH ST,E BROADWAY,ON,II,"II,III",2,2,Standard,Sharrows
1371,"MULTILINESTRING ((-73.99301588418959 40.714355624599634, -73.99294362965558 40.71383059559558))",24138,192.329935803,1,PIKE ST,CHERRY ST,DIVISION ST,ON,III,III,R,1,Sharrows,
1376,"MULTILINESTRING ((-73.99259915889145 40.71511310787626, -73.99201357799848 40.71623550973717))",24148,439.967689602,1,ALLEN ST,E HOUSTON ST,CANAL ST,ON,I,I,L,1,,Protected Path
1384,"MULTILINESTRING ((-73.99022012638979 40.71440494010899, -73.99018902087805 40.714053233212255))",24173,128.427342119,1,RUTGERS ST,CANAL ST,E BROADWAY,ON,III,III,R,1,Sharrows,
1390,"MULTILINESTRING ((-73.98729894907962 40.692234075631795, -73.98734787475522 40.69145766769341))",24204,283.193412657,3,JAY ST,METROTECH RD,FULTON ST,ON,I,"III,I",2,2,Sharrows,Protected Path
1393,"MULTILINESTRING ((-73.98722751066022 40.69379951934268, -73.98619262119617 40.69375351870823))",24215,287.470742097,3,MYRTLE AVE,DUFFIELD ST,JAY ST,OFF,I,I,2,2,Sidewalk,Sidewalk
1398,"MULTILINESTRING ((-73.98972975310863 40.70073504452595, -73.98881847003484 40.70071191910437))",24235,252.819009668,3,PROSPECT STREET,WASHINGTON ST,ADAMS ST,ON,I,"I,III",2,2,Sharrows,Sidewalk
1404,"MULTILINESTRING ((-73.98833451016922 40.70000919161163, -73.98778704102159 40.69998001226066))",24254,152.174502294,3,SANDS ST,ADAMS ST,PEARL ST,ON,II,II,R,1,Standard,
1406,"MULTILINESTRING ((-73.98692304649254 40.70063356302347, -73.98679382859032 40.70063322318496))",24269,35.8295204177,3,PROSPECT ST,PEARL ST,JAY ST,ON,II,II,R,1,Curbside,
1410,"MULTILINESTRING ((-73.98962349406868 40.702523229209085, -73.98967880929311 40.701628305504485))",24286,326.407945084,3,WASHINGTON ST,FRONT ST,YORK ST,ON,III,III,2,2,Signed Route,Signed Route
1415,"MULTILINESTRING ((-73.98750921071907 40.70445981271339, -73.9865700145519 40.70441261020786))",24319,260.971005688,3,JOHN ST,JAY ST,PEARL ST,ON,III,III,L,1,,Signed Route
1426,"MULTILINESTRING ((-73.9835726147043 40.68878595330131, -73.98398777598669 40.68817464425531))",24392,250.718021407,3,BOND ST,FULTON ST,SCHERMERHORN ST,ON,II,II,R,1,Curbside,
1429,"MULTILINESTRING ((-73.98662474375384 40.70062914415213, -73.98638761381324 40.70021968864363))",24484,163.024359187,3,JAY ST GREENWAY,PROSPECT ST,SANDS ST,OFF,I,I,2,2,Greenway,Greenway
1430,"MULTILINESTRING ((-73.98478406152427 40.71122878939365, -73.98470278705344 40.7107020158152))",24524,193.237710571,1,MONTGOMERY ST,SOUTH ST,HENRY ST,ON,II,II,2,2,Standard,Standard
1435,"MULTILINESTRING ((-73.98511406573525 40.71378675100102, -73.98470685955093 40.71451206778887))",24542,287.357005697,1,SAMUEL DICKSTEIN PLZ,HENRY ST,GRAND ST,ON,I,I,2,2,Protected Path,Protected Path
1438,"MULTILINESTRING ((-73.98501239018643 40.715437751552514, -73.98425853672151 40.715209578699685))",24548,224.908285601,1,GRAND ST,E BROADWAY,ESSEX ST,ON,II,II,2,2,Standard,Standard
1440,"MULTILINESTRING ((-73.98042941145636 40.68990041424348, -73.97951029737418 40.689863000033725))",24570,255.255614897,3,DE KALB AV,MALCOLM X BLVD,HUDSON AV,ON,II,II,L,1,,Standard
1442,"MULTILINESTRING ((-73.98098333164131 40.69355661712119, -73.98011299206526 40.693523880456475))",24596,241.646379625,3,MYRTLE AV,FLATBUSH AV EX,WASHINGTON PARK,ON,II,II,R,1,Standard,
1444,"MULTILINESTRING ((-73.98037063424475 40.69626305017261, -73.98035682841584 40.696177516235274))",24635,31.3968147099,3,NAVY ST,MYRTLE AV,SANDS ST,ON,II,II,2,2,Curbside,Curbside
1446,"MULTILINESTRING ((-73.97953664747726 40.69617228543198, -73.97887322094358 40.69615934946661))",24646,184.026397878,3,PARK AVENUE,NAVY ST,STEUBEN ST,ON,III,III,R,1,Bike-Friendly Parking,
1447,"MULTILINESTRING ((-73.98054419153065 40.6982465113869, -73.97808892742646 40.69813832385521))",24672,681.956162337,3,NASSAU ST,4 ST,NAVY ST,ON,II,II,2,2,Standard,Curbside
1452,"MULTILINESTRING ((-73.97996198863733 40.71397269937036, -73.97949553967388 40.714889886149024))",24752,358.305986637,1,LEWIS ST,GRAND ST,DELANCEY ST,ON,III,III,R,1,Sharrows,
1459,"MULTILINESTRING ((-73.9691277971968 40.57453088720706, -73.96756707294358 40.5748815266507))",24796,452.000082628,3,BOARDWALK E,BRIGHTON 15 ST,W 37 ST,OFF,I,I,2,2,Boardwalk,Boardwalk
1498,"MULTILINESTRING ((-73.95422294508091 40.592307954390485, -73.95326012872607 40.59241275689697))",25977,270.113815041,3,AV X,E 16 ST,NOSTRAND AV,ON,II,"II,III",2,2,Standard,Sharrows
1499,"MULTILINESTRING ((-73.95343812065687 40.58317403575116, -73.95250662321489 40.58325360298563))",26047,260.357655489,3,EMMONS AV,SHORE BLVD,KNAPP ST,ON,III,III,2,2,Signed Route,Signed Route
1517,"MULTILINESTRING ((-73.94705837423966 40.60216200711263, -73.94663212380684 40.59990896420685))",26294,829.33173497,3,BEDFORD AV,EMMONS AV,DIVISION AV,ON,II,II,2,2,Standard,Standard
1534,"MULTILINESTRING ((-73.97000109699086 40.6291134740376, -73.96892915899296 40.62923162569476))",26798,300.641233903,3,AV H,CAMPUS RD,OCEAN PKWY,ON,III,III,2,2,Sharrows,Sharrows
1546,"MULTILINESTRING ((-73.95774476598537 40.63289746907512, -73.95729933231925 40.63051209866181))",27226,877.804967897,3,OCEAN AVENUE,PARKSIDE AV,AVENUE H,ON,III,III,2,2,Sharrows,Sharrows
1548,"MULTILINESTRING ((-73.95662639039053 40.63059040539613, -73.95663156942973 40.63063653196133, -73.95663294237275 40.630682815581935, -73.95663050460189 40.63072907435147, -73.956624266866 40.63077512546825, -73.95661425173328 40.63082078703527, -73.95660049949923 40.63086588166433, -73.95658306464485 40.63091023017137, -73.95656201464952 40.630953659680415, -73.95653743354107 40.63099599732154, -73.95650941598038 40.63103707923374, -73.9564780743591 40.63107674156254, -73.95644353170242 40.63111482856195, -73.95640592285194 40.63115119169454, -73.9563653956487 40.631185687830765))",27329,236.133343712,3,CAMPUS RD,E 23 ST,AVE H,ON,III,III,L,1,,Sharrows
1550,"MULTILINESTRING ((-73.95461862174645 40.63194351019922, -73.95457252740151 40.631531217079996))",27339,150.75332545,3,E 23 ST,CAMPUS RD,CAMPUS RD,ON,III,III,R,1,Sharrows,
